,slug,#,name,symbol,marketcap,price,totalsupply,volume,change1h,change24h,change7d,more-options
103,gifto,"
104
",GTO,GTO,121447711.978,0.231253,525172481.993,6315210.0,0.22%,-6.03%,-26.89%,Add to Watchlist
104,true-chain,"
105
",TRUE,TRUE,119874430.801,2.58079,46448735.0,194218000.0,0.92%,-9.26%,-7.07%,Add to Watchlist
105,civic,"
106
",CVC,CVC,114552261.435,0.334264,342699966.0,30784800.0,-2.90%,6.41%,0.17%,Add to Watchlist
106,salt,"
107
",SALT,SALT,113360222.716,1.9233,58940478.717,3988010.0,-1.13%,-5.93%,-30.61%,Add to Watchlist
107,nexus,"
108
",NXS,NXS,113275905.511,1.97047,57486744.5385,550136.0,0.10%,0.60%,-2.10%,Add to Watchlist
108,power-ledger,"
109
",POWR,POWR,113138032.544,0.303028,373358344.92,4064950.0,-0.13%,-6.03%,-26.35%,Add to Watchlist
109,bnktothefuture,"
110
",BFT,BFT,112187376.908,0.178078,629990099.325,3642970.0,0.30%,-8.64%,-19.52%,Add to Watchlist
110,wax,"
111
",WAX,WAX,112089177.247,0.179336,625023292.852,1253950.0,-0.70%,-8.31%,-28.74%,Add to Watchlist
111,chainlink,"
112
",LINK,LINK,111772150.0,0.319349,350000000.0,1892650.0,-0.83%,-9.05%,-28.50%,Add to Watchlist
112,matrix-ai-network,"
113
",MAN,MAN,110568150.0,0.737121,150000000.0,1684930.0,-1.60%,-8.48%,-31.37%,Add to Watchlist
113,dropil,"
114
",DROP,DROP,109602187.213,0.00572452,19146092111.3,50048.9,2.91%,2.35%,-14.50%,Add to Watchlist
114,byteball,"
115
",GBYTE,GBYTE,108122319.321,167.386,645946.012935,55567.4,-0.39%,-2.77%,-27.96%,Add to Watchlist
115,bibox-token,"
116
",BIX,BIX,107778463.456,1.03293,104342466.049,28375000.0,0.72%,-4.03%,-7.13%,Add to Watchlist
116,achain,"
117
",ACT,ACT,104525984.771,0.213887,488697231.581,26531700.0,-0.34%,1.70%,-18.94%,Add to Watchlist
117,nexo,"
118
",NEXO,NEXO,104380641.864,0.186394,560000010.0,7097660.0,0.59%,-7.19%,-14.53%,Add to Watchlist
118,deepbrain-chain,"
119
",DBC,DBC,104123100.0,0.0694154,1500000000.0,1216730.0,0.28%,-4.06%,-28.15%,Add to Watchlist
119,theta-token,"
120
",THETA,THETA,102905289.57,0.161143,638596089.0,13408500.0,-2.21%,0.54%,-27.31%,Add to Watchlist
120,quantstamp,"
121
",QSP,QSP,100861727.742,0.163388,617314170.819,1120550.0,0.32%,-4.72%,-27.24%,Add to Watchlist
121,tenx,"
122
",PAY,PAY,99739313.5164,0.914643,109047260.534,5697590.0,-0.39%,-6.07%,-25.07%,Add to Watchlist
122,monaco,"
123
",MCO,MCO,98876174.0018,6.26043,15793831.095,13950800.0,-0.83%,-7.92%,-31.09%,Add to Watchlist
123,revain,"
124
",R,R,98437396.2,0.527956,186450000.0,1892160.0,0.07%,-7.66%,-35.41%,Add to Watchlist
124,eosdac,"
125
",EOSDAC,EOSDAC,98352747.3093,0.148849,660755176.785,3131470.0,-0.97%,-10.79%,-34.46%,Add to Watchlist
125,bottos,"
126
",BTO,BTO,98059917.1404,0.205256,477744461.26,5345660.0,-0.54%,-13.25%,-18.40%,Add to Watchlist
126,neblio,"
127
",NEBL,NEBL,97975024.1709,7.45087,13149474.3796,4618320.0,-0.19%,-8.07%,-28.76%,Add to Watchlist
127,emercoin,"
128
",EMC,EMC,97903706.128,2.34295,41786511.0771,1301470.0,0.67%,-3.67%,-23.72%,Add to Watchlist
128,blocknet,"
129
",BLOCK,BLOCK,97565514.1397,18.9053,5160749.32108,217661.0,0.68%,-0.61%,2.09%,Add to Watchlist
129,nucleus-vision,"
130
",NCASH,NCASH,97415310.3343,0.022907,4252643747.95,3096590.0,-0.54%,-3.16%,-31.92%,Add to Watchlist
130,request-network,"
131
",REQ,REQ,96908017.2013,0.139245,695953299.589,1236510.0,-0.12%,-9.56%,-25.58%,Add to Watchlist
131,docademic,"
132
",MTC,MTC,96746810.295,0.357422,270679505.724,13045800.0,-2.67%,28.83%,422.35%,Add to Watchlist
132,storj,"
133
",STORJ,STORJ,95762668.0053,0.705239,135787538.7,3255790.0,0.06%,-2.64%,-22.46%,Add to Watchlist
